status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,home_ownership,grade,outcome,emp_length,emp_len_,borrower_score
Charged Off,6000,f,32124,9.15,7.96563,1757,79.90,RENT,3.40,default,0,f,0.45
Charged Off,14000,f,66000,15.27,7.91691,16041,72.60,MORTGAGE,6.80,default,0,f,0.40
Charged Off,11400,f,58800,10.12,7.61571,22081,76.40,MORTGAGE,5.60,default,0,f,0.40
Charged Off,19000,f,48000,17.68,14.66450,43117,46.40,MORTGAGE,6.60,default,0,f,0.45
Charged Off,3550,f,10200,10.00,13.77060,3702,75.60,RENT,5.80,default,0,f,0.50
Charged Off,7000,f,45000,15.23,5.80587,26695,40.60,MORTGAGE,6.80,default,0,f,0.55
Charged Off,2400,f,10800,15.56,8.60333,801,7.20,OWN,5.20,default,0,f,0.35
Charged Off,1550,f,26400,14.45,2.12500,21345,36.50,MORTGAGE,6.20,default,0,f,0.45
Charged Off,1000,f,100000,4.49,0.40728,12304,40.60,MORTGAGE,4.40,default,0,f,0.60
Charged Off,3500,f,27600,21.74,4.98130,0,0.00,RENT,5.60,default,0,f,0.50
Charged Off,5500,f,45000,4.96,4.46133,6958,60.00,MORTGAGE,6.40,default,0,f,0.55
Charged Off,10000,f,36000,20.87,11.07000,13170,94.70,RENT,6.00,default,0,f,0.60
Charged Off,2000,f,18000,20.93,4.39667,12485,90.50,OWN,5.80,default,0,f,0.30
Charged Off,4200,f,21600,24.78,7.52833,12577,50.30,OWN,5.20,default,0,f,0.40
Charged Off,2400,f,372000,2.58,0.25345,33471,97.30,OWN,5.60,default,0,f,0.45
Charged Off,5775,f,35554,26.02,5.87883,7543,15.10,MORTGAGE,6.20,default,0,f,0.65
Charged Off,9600,f,93600,11.88,4.00564,18424,70.30,MORTGAGE,5.40,default,0,f,0.60
Charged Off,12000,f,31800,11.13,13.65740,8223,11.80,RENT,6.20,default,0,f,0.50
Charged Off,1000,f,38000,27.47,1.02789,58794,97.20,MORTGAGE,5.40,default,0,f,0.50
Charged Off,1000,f,26400,12.95,1.48818,0,0.00,MORTGAGE,5.60,default,0,f,0.45
Charged Off,7400,f,49995,20.52,6.06973,6653,57.50,RENT,4.60,default,0,f,0.45
Charged Off,3000,f,57600,3.65,2.10562,2670,11.70,OWN,4.20,default,0,f,0.75
Charged Off,6000,f,27600,19.00,9.12261,13112,95.00,MORTGAGE,3.20,default,6,t,0.50
Charged Off,6000,f,27120,10.40,9.00841,5119,77.60,RENT,4.40,default,0,f,0.40
Charged Off,5000,f,50000,11.59,3.98520,16513,82.60,MORTGAGE,6.00,default,0,f,0.45
Charged Off,2800,f,17760,18.04,6.53919,7515,75.90,OWN,4.80,default,0,f,0.15
Charged Off,5000,f,30000,4.00,6.73800,1971,24.60,RENT,4.20,default,0,f,0.60
Charged Off,2800,f,15204,22.65,6.97553,7701,29.20,MORTGAGE,7.00,default,0,f,0.65
Charged Off,2500,f,19464,13.87,5.25586,792,13.10,RENT,4.40,default,0,f,0.40
Charged Off,2800,f,54000,13.49,1.97578,25619,83.40,RENT,7.00,default,11,t,0.50
Charged Off,3200,f,39000,17.48,3.31723,10145,74.00,RENT,4.20,default,0,f,0.60
Charged Off,5000,f,43200,14.58,4.85694,954,59.60,RENT,4.80,default,2,t,0.25
Charged Off,2000,f,26784,9.99,2.76658,828,5.30,MORTGAGE,6.60,default,0,f,0.65
Charged Off,2000,f,12600,6.10,5.74476,1078,8.80,MORTGAGE,6.20,default,0,f,0.60
Charged Off,3000,f,39600,8.03,3.23636,7885,86.60,RENT,3.80,default,0,f,0.50
Charged Off,6500,f,21600,11.11,12.48110,3059,78.40,RENT,4.80,default,0,f,0.50
Charged Off,4500,f,17600,13.70,10.48500,2337,40.30,RENT,4.60,default,0,f,0.45
Charged Off,1875,f,15204,24.47,4.67167,13988,88.00,RENT,7.00,default,0,f,0.45
Charged Off,5500,f,36780,16.54,5.66395,8926,49.80,MORTGAGE,7.00,default,0,f,0.60
Charged Off,1000,f,10140,23.67,4.01302,6487,94.00,RENT,4.60,default,0,f,0.40
Charged Off,7000,f,30156,7.40,8.59968,7850,34.70,OWN,6.60,default,0,f,0.40
Charged Off,20000,f,69600,23.48,11.28760,9723,46.30,MORTGAGE,5.60,default,0,f,0.40
Charged Off,7000,f,18500,10.96,14.15740,5299,34.00,RENT,7.00,default,0,f,0.45
Charged Off,12000,f,33600,22.36,14.45290,3536,59.90,OWN,4.40,default,0,f,0.35
Charged Off,6700,f,21600,23.89,11.48000,6816,30.60,RENT,6.60,default,0,f,0.40
Charged Off,12000,f,47000,21.57,9.88621,27067,90.50,RENT,5.40,default,0,f,0.25
Charged Off,1000,f,10000,15.48,3.89400,5771,17.40,RENT,5.60,default,0,f,0.60
Charged Off,4250,f,10380,11.21,16.47980,3104,79.60,RENT,4.20,default,0,f,0.40
Charged Off,5000,f,35004,21.08,5.28660,12173,55.80,RENT,6.60,default,5,t,0.35
Charged Off,1500,f,30000,22.04,1.92600,0,0.00,RENT,5.20,default,0,f,0.40
Charged Off,4800,f,31200,10.12,5.98923,2849,95.00,RENT,5.60,default,0,f,0.35
Charged Off,7000,f,46932,26.00,5.42802,21681,57.50,OWN,6.40,default,0,f,0.40
Charged Off,2375,f,9600,16.63,9.58000,5928,69.70,RENT,5.40,default,0,f,0.55
Charged Off,1000,f,13728,23.34,2.82080,7195,61.50,RENT,5.40,default,0,f,0.45
Charged Off,1000,f,33240,12.96,1.11949,15255,86.20,OWN,6.80,default,0,f,0.35
Charged Off,5000,f,48000,20.40,4.28275,6644,75.50,MORTGAGE,5.00,default,0,f,0.45
Charged Off,5000,f,36000,6.37,5.74033,1912,95.60,RENT,3.20,default,3,t,0.30
Charged Off,10000,f,35000,4.46,12.50230,4012,97.90,OWN,1.40,default,0,f,0.35
Charged Off,3000,f,18000,6.53,6.03200,3940,7.60,MORTGAGE,6.20,default,0,f,0.70
Charged Off,4500,f,50000,13.51,3.71544,7262,96.80,RENT,3.40,default,0,f,0.30
Charged Off,3000,f,24000,2.20,4.62550,1228,26.70,OWN,7.00,default,0,f,0.60
Charged Off,8300,f,22800,10.79,14.63740,8236,56.00,MORTGAGE,4.40,default,0,f,0.35
Charged Off,4000,f,40000,8.91,3.66000,10033,51.10,RENT,6.60,default,0,f,0.55
Charged Off,3000,f,48000,0.90,2.28750,481,1.40,MORTGAGE,6.60,default,0,f,0.70
Charged Off,4000,f,48000,10.20,3.19175,7831,62.20,MORTGAGE,5.40,default,0,f,0.40
Charged Off,7000,f,90000,6.67,2.81493,7221,7.40,MORTGAGE,6.20,default,0,f,0.55
Charged Off,3600,f,12000,7.00,11.55300,508,33.90,RENT,5.60,default,0,f,0.65
Charged Off,1800,f,68400,24.56,1.00246,3620,34.20,MORTGAGE,5.20,default,0,f,0.60
Charged Off,9800,f,25000,11.71,15.67580,3214,31.20,RENT,4.20,default,0,f,0.70
Charged Off,12000,t,70000,11.81,3.11366,6117,25.60,RENT,5.80,default,1,t,0.55
Charged Off,6250,f,23400,20.62,11.94410,7219,82.00,OWN,4.00,default,0,f,0.35
Charged Off,14500,f,88113,19.87,6.61673,48299,88.30,RENT,4.40,default,0,f,0.50
Charged Off,2500,f,32400,19.44,2.93926,1670,9.00,MORTGAGE,5.20,default,0,f,0.55
Charged Off,4000,f,62400,20.90,2.60500,4856,58.50,MORTGAGE,4.80,default,0,f,0.50
Charged Off,5000,f,16800,8.29,12.20290,3766,67.20,OWN,4.60,default,0,f,0.55
Charged Off,2600,f,50340,7.68,1.91776,53212,46.90,MORTGAGE,6.60,default,0,f,0.55
Charged Off,13000,f,45000,23.71,11.30850,13695,73.20,RENT,5.40,default,0,f,0.45
Charged Off,5100,f,33996,4.94,5.90399,4287,33.50,OWN,5.60,default,0,f,0.55
Charged Off,2000,f,12000,15.80,6.52500,3324,34.30,OWN,5.40,default,0,f,0.40
Charged Off,2400,f,16656,11.10,5.97046,4057,99.00,MORTGAGE,5.00,default,0,f,0.40
Charged Off,2000,f,45000,14.11,1.75867,5972,47.80,OWN,5.80,default,0,f,0.60
Charged Off,11000,f,34000,8.93,13.26530,1099,4.30,OWN,4.60,default,0,f,0.65
Charged Off,25000,f,72000,11.45,12.15420,85005,13.90,MORTGAGE,6.00,default,0,f,0.45
Charged Off,2000,f,25000,17.14,3.44976,1484,12.60,OWN,3.20,default,11,t,0.70
Charged Off,7000,f,42000,19.69,6.83371,5675,72.80,RENT,4.60,default,0,f,0.55
Charged Off,1000,f,12000,19.00,3.12900,1761,24.50,RENT,7.00,default,0,f,0.60
Charged Off,3500,f,36000,19.90,3.84667,1557,50.20,RENT,5.80,default,0,f,0.15
Charged Off,2500,f,8412,16.41,11.03570,9,0.00,OWN,6.60,default,0,f,0.50
Charged Off,9800,f,65000,22.38,5.96529,3797,44.20,MORTGAGE,5.80,default,0,f,0.50
Charged Off,2500,f,10800,9.33,9.60778,2084,40.10,RENT,3.20,default,0,f,0.75
Charged Off,4750,f,10400,3.00,18.92420,740,33.60,OWN,5.00,default,0,f,0.20
Charged Off,18250,f,48000,18.68,16.22580,9566,79.60,MORTGAGE,2.40,default,0,f,0.35
Charged Off,15000,f,36144,13.68,17.49630,6645,94.90,RENT,3.80,default,0,f,0.45
Charged Off,6000,f,47000,19.69,5.06706,15029,28.80,RENT,5.60,default,7,t,0.60
Charged Off,10000,f,100000,18.06,4.33416,41579,74.40,RENT,3.00,default,0,f,0.30
Charged Off,1000,f,10200,1.76,4.07647,216,21.60,RENT,3.40,default,0,f,0.50
Charged Off,3000,f,36132,15.28,3.39821,1629,67.90,RENT,4.80,default,0,f,0.70
Charged Off,23500,f,64800,24.46,11.99610,27639,72.40,MORTGAGE,3.60,default,0,f,0.50
Charged Off,23500,f,51600,19.72,17.98560,13524,38.40,RENT,6.00,default,0,f,0.45
Charged Off,10000,f,47435,19.93,8.94985,10941,93.80,RENT,2.20,default,0,f,0.40
Charged Off,8500,f,26000,7.80,12.77350,7367,61.90,RENT,5.60,default,0,f,0.35
Charged Off,12000,f,170000,17.91,2.94762,109990,66.30,MORTGAGE,4.80,default,3,t,0.45
Charged Off,9200,f,22800,16.79,15.59680,2917,6.00,RENT,5.20,default,0,f,0.70
Charged Off,15000,f,49439,18.96,12.22110,20526,53.00,RENT,4.20,default,0,f,0.45
Charged Off,7000,f,61000,22.58,4.26059,24035,36.70,MORTGAGE,6.60,default,0,f,0.65
Charged Off,10000,f,24000,1.30,16.96250,0,0.00,RENT,4.60,default,0,f,0.55
Charged Off,7000,f,20000,14.82,14.55180,727,42.80,RENT,3.40,default,0,f,0.25
Charged Off,6300,f,12624,6.27,20.42400,3234,68.80,RENT,4.80,default,0,f,0.70
Charged Off,7750,f,24000,15.80,13.21550,8202,34.70,RENT,4.80,default,0,f,0.65
Charged Off,2200,f,15000,5.04,5.97120,1939,25.90,RENT,4.60,default,0,f,0.40
Charged Off,1500,f,45000,17.12,1.24453,5393,42.80,RENT,6.80,default,0,f,0.55
Charged Off,12000,f,60000,20.32,8.05600,6359,48.20,MORTGAGE,4.20,default,0,f,0.45
Charged Off,10000,f,132600,7.75,3.07068,10488,87.40,RENT,4.20,default,6,t,0.40
Charged Off,8400,f,66000,23.58,5.12655,20966,65.10,MORTGAGE,4.20,default,0,f,0.35
Charged Off,4000,f,27500,5.76,5.68320,4423,40.20,RENT,5.60,default,0,f,0.45
Charged Off,8000,f,52800,7.36,6.36568,10973,87.80,MORTGAGE,3.80,default,0,f,0.35
Charged Off,10000,f,70000,9.09,5.55171,2205,24.50,MORTGAGE,5.40,default,0,f,0.45
Charged Off,9000,f,200000,4.18,1.68918,5663,13.20,MORTGAGE,7.00,default,0,f,0.80
Charged Off,9800,f,33000,8.25,12.02550,5745,18.40,RENT,4.40,default,0,f,0.60
Charged Off,4000,f,37200,9.35,4.61258,4598,57.50,OWN,2.60,default,0,f,0.65
Charged Off,1000,f,10500,21.37,3.70171,5430,48.90,RENT,5.40,default,0,f,0.50
Charged Off,10000,f,36000,3.83,11.42830,344,34.40,MORTGAGE,5.00,default,0,f,0.35
Charged Off,8000,f,88500,11.61,3.72136,15514,77.20,RENT,5.00,default,1,t,0.40
Charged Off,22400,f,84996,7.78,10.82490,18067,60.60,RENT,3.20,default,7,t,0.50
Charged Off,11200,f,105000,13.50,4.37417,19368,74.80,RENT,4.60,default,8,t,0.35
Charged Off,7500,f,50000,17.54,6.05808,23401,35.80,MORTGAGE,3.40,default,8,t,0.40
Charged Off,2000,f,70000,18.24,1.11223,4976,17.00,MORTGAGE,6.00,default,0,f,0.65
Charged Off,12000,f,53000,15.42,9.15215,13968,36.80,RENT,4.60,default,0,f,0.55
Charged Off,12000,f,36000,26.93,12.44070,2777,21.10,RENT,6.80,default,7,t,0.60
Charged Off,3600,f,25980,11.45,5.51224,794,6.00,RENT,6.00,default,0,f,0.30
Charged Off,7000,f,55200,22.09,5.31870,4742,89.50,MORTGAGE,3.60,default,0,f,0.40
Charged Off,1000,f,10200,12.94,3.81765,5360,60.20,RENT,5.20,default,0,f,0.60
Charged Off,2000,f,59000,19.51,1.40461,135478,76.70,MORTGAGE,5.00,default,0,f,0.40
Charged Off,2000,f,68000,10.54,1.14529,10716,23.40,RENT,5.20,default,0,f,0.35
Charged Off,3600,f,43000,13.76,3.57293,3324,97.80,RENT,2.40,default,0,f,0.20
Charged Off,4000,f,50000,24.58,3.00312,56004,86.40,MORTGAGE,7.00,default,0,f,0.45
Charged Off,5000,f,55260,17.46,3.66406,1871,60.40,RENT,4.40,default,0,f,0.40
Charged Off,14500,f,60000,24.06,11.02160,16441,49.80,RENT,1.00,default,0,f,0.45
Charged Off,5000,f,48000,16.75,4.27175,14697,81.60,RENT,4.60,default,4,t,0.55
Charged Off,8000,f,48000,25.33,7.73175,18395,86.00,OWN,2.80,default,0,f,0.25
Charged Off,14675,f,35000,18.62,17.19150,8779,77.70,RENT,4.20,default,0,f,0.40
Charged Off,8875,f,23148,28.88,15.94450,9573,77.80,RENT,4.60,default,0,f,0.35
Charged Off,20050,t,50244,19.44,13.70930,9524,76.20,RENT,1.80,default,0,f,0.50
Charged Off,8325,f,50000,8.88,6.92424,7908,35.50,RENT,4.60,default,0,f,0.60
Default,32875,f,102000,20.24,14.85090,27231,88.70,MORTGAGE,2.60,default,0,f,0.35
Charged Off,7200,f,22800,23.68,14.37050,2803,17.60,OWN,2.40,default,0,f,0.65
Charged Off,1200,f,19200,23.75,2.69563,6794,67.90,RENT,3.40,default,0,f,0.45
Charged Off,4000,f,20000,26.89,8.06940,7192,26.80,RENT,5.80,default,0,f,0.55
Charged Off,7000,f,33000,24.80,9.07418,10435,73.00,RENT,3.20,default,0,f,0.20
Charged Off,6000,f,76000,7.11,3.63774,10016,45.70,RENT,2.60,default,11,t,0.40
Charged Off,7000,f,28000,14.66,9.38743,743,8.40,MORTGAGE,6.80,default,0,f,0.65
Charged Off,3000,f,65000,21.64,1.70068,8187,41.80,MORTGAGE,6.40,default,0,f,0.60
Charged Off,11700,f,39288,19.73,11.86810,18434,41.30,MORTGAGE,5.60,default,0,f,0.60
Charged Off,10000,f,42000,16.26,8.94029,6579,44.20,MORTGAGE,6.80,default,0,f,0.65
Charged Off,5000,f,40882,18.32,5.71205,1260,96.90,RENT,3.00,default,0,f,0.45
Charged Off,3825,f,12912,27.23,12.67290,2597,68.30,RENT,3.20,default,0,f,0.50
Charged Off,5000,f,30000,10.00,6.72440,4048,43.50,OWN,5.80,default,0,f,0.55
Charged Off,3250,f,12696,17.11,11.03970,9226,73.20,OWN,3.40,default,0,f,0.55
Charged Off,10000,f,40000,12.72,10.69440,5706,46.80,MORTGAGE,3.20,default,0,f,0.35
Charged Off,10000,f,40000,19.97,10.88340,25702,63.90,RENT,3.60,default,0,f,0.45
Charged Off,1400,f,15644,7.67,3.89593,1531,95.70,OWN,3.60,default,0,f,0.35
Charged Off,12000,f,36000,12.20,13.44900,14580,87.80,RENT,5.80,default,0,f,0.60
Charged Off,14000,f,58400,28.50,10.05840,26027,70.20,RENT,4.80,default,0,f,0.40
Charged Off,16400,f,75000,17.55,9.25648,18187,94.20,MORTGAGE,5.00,default,0,f,0.45
Charged Off,4950,f,18000,28.87,13.11930,8496,97.70,RENT,1.80,default,0,f,0.25
Charged Off,9450,f,28513,26.01,15.70820,10998,95.60,RENT,1.60,default,0,f,0.45
Charged Off,8875,f,25452,19.61,14.09710,13490,48.70,OWN,5.80,default,0,f,0.50
Charged Off,2400,f,56000,3.88,1.89043,1587,63.50,OWN,3.60,default,0,f,0.25
Charged Off,5000,f,30000,10.72,6.25840,6352,12.70,MORTGAGE,6.80,default,0,f,0.70
Charged Off,15850,f,40000,0.78,17.32200,379,16.50,RENT,3.40,default,6,t,0.50
Charged Off,2500,f,10000,8.16,9.96360,1846,29.80,RENT,5.60,default,0,f,0.60
Charged Off,2400,f,22000,15.55,5.11582,13233,94.50,MORTGAGE,1.20,default,0,f,0.30
Charged Off,5500,f,35000,16.98,7.49657,5614,71.10,RENT,1.80,default,7,t,0.40
Charged Off,8400,f,61400,33.82,5.86143,14685,69.30,RENT,5.00,default,0,f,0.40
Charged Off,3600,f,30588,30.16,5.04237,12714,75.70,RENT,5.00,default,0,f,0.30
Charged Off,5700,f,22000,15.98,10.47440,15300,53.90,MORTGAGE,5.80,default,0,f,0.50
Charged Off,9925,f,29500,18.35,13.40790,16955,36.50,OWN,5.60,default,0,f,0.55
Charged Off,4375,f,15320,28.45,12.65250,8964,67.40,RENT,3.80,default,0,f,0.50
Charged Off,11500,f,35000,23.01,12.66170,14119,28.10,RENT,5.20,default,0,f,0.60
Default,4000,f,14940,18.31,11.70440,4623,92.50,RENT,3.40,default,0,f,0.45
Charged Off,15000,f,40000,29.52,14.94450,4197,56.70,RENT,5.60,default,0,f,0.35
Charged Off,14250,f,65000,16.95,8.73674,12163,77.50,RENT,5.60,default,0,f,0.40
Charged Off,6000,f,51000,27.84,4.62141,5956,62.00,MORTGAGE,5.40,default,0,f,0.30
Charged Off,8400,f,27310,19.47,12.66880,7944,82.70,MORTGAGE,4.20,default,0,f,0.25
Charged Off,7675,f,35800,5.10,9.58726,4936,80.90,MORTGAGE,4.00,default,0,f,0.40
Charged Off,21600,f,52000,24.12,17.57380,23853,79.80,OWN,4.80,default,0,f,0.45
Charged Off,12000,f,54000,16.93,9.52089,9883,63.40,MORTGAGE,5.00,default,0,f,0.55
Charged Off,1325,f,50400,14.95,1.01810,144,4.00,RENT,5.40,default,1,t,0.50
Charged Off,12875,f,45400,23.05,12.82120,9236,79.60,MORTGAGE,2.20,default,0,f,0.60
Charged Off,5500,f,35600,23.77,5.80112,5026,13.10,MORTGAGE,6.80,default,0,f,0.60
Charged Off,9325,f,42624,22.24,9.65006,7181,83.50,RENT,3.60,default,0,f,0.45
Charged Off,26750,f,75000,16.13,15.42180,26731,96.20,OWN,3.20,default,0,f,0.35
Charged Off,8000,f,30500,23.85,9.71449,5999,24.90,OWN,6.40,default,0,f,0.60
Charged Off,6000,f,37000,12.94,7.25189,3418,72.70,RENT,4.00,default,0,f,0.40
Charged Off,3900,f,32000,15.75,5.26987,7124,68.50,RENT,3.20,default,0,f,0.45
Default,11450,f,65000,8.60,7.25557,11002,82.70,MORTGAGE,4.20,default,0,f,0.45
Charged Off,10525,t,40000,27.84,9.45210,10020,33.20,RENT,0.80,default,0,f,0.55
Charged Off,3000,f,43000,24.59,3.15433,3662,85.20,MORTGAGE,2.20,default,0,f,0.30
Charged Off,3625,f,14000,26.62,10.66540,6195,81.50,MORTGAGE,4.20,default,0,f,0.65
Charged Off,13000,f,62000,32.34,8.55929,19371,68.20,MORTGAGE,6.00,default,0,f,0.30
Charged Off,5000,f,46500,18.32,4.18606,6915,92.20,RENT,5.60,default,5,t,0.20
Charged Off,6500,f,35600,24.40,7.82258,11341,57.00,MORTGAGE,5.00,default,0,f,0.50
Charged Off,12000,f,89000,18.18,5.61681,8635,95.90,MORTGAGE,4.40,default,0,f,0.10
Charged Off,5200,f,30348,19.57,7.34124,6132,75.70,RENT,5.00,default,0,f,0.40
Charged Off,11700,f,33908,31.57,13.75110,21721,51.60,RENT,5.60,default,0,f,0.55
Charged Off,19500,f,72000,16.80,11.60330,5728,20.00,MORTGAGE,5.00,default,0,f,0.60
Charged Off,4375,f,15528,17.19,11.73720,9072,63.00,RENT,4.40,default,0,f,0.40
Charged Off,7200,f,43000,11.11,6.48251,18244,74.20,MORTGAGE,5.20,default,0,f,0.45
Charged Off,5000,t,62000,7.39,2.39323,8357,82.60,RENT,3.40,default,0,f,0.40
Charged Off,10500,f,30000,21.68,14.80760,10726,62.70,MORTGAGE,4.80,default,0,f,0.45
Charged Off,10750,f,49200,15.02,8.59780,25353,62.80,OWN,6.00,default,11,t,0.45
Charged Off,15000,f,42612,13.33,15.22080,9140,57.50,MORTGAGE,3.20,default,0,f,0.50
Charged Off,9600,f,51000,22.19,7.84141,9764,34.90,RENT,4.40,default,0,f,0.55
Charged Off,19200,f,85000,17.56,8.74504,30088,87.50,MORTGAGE,5.20,default,0,f,0.60
Charged Off,11025,f,39385,29.71,11.74530,16815,75.40,MORTGAGE,4.60,default,0,f,0.55
Charged Off,6400,f,33000,24.18,8.55455,5468,80.40,RENT,3.60,default,0,f,0.35
Charged Off,4375,f,16488,32.31,11.05390,8353,49.70,RENT,4.40,default,0,f,0.45
Charged Off,2750,f,14000,12.60,9.05143,3894,81.10,RENT,2.60,default,0,f,0.35
Charged Off,5500,f,19881,12.98,11.85270,10849,84.10,RENT,5.00,default,0,f,0.35
Charged Off,4800,f,16992,5.30,12.46050,2457,46.40,OWN,3.60,default,0,f,0.55
Charged Off,10000,f,60000,31.82,7.53520,8859,68.70,MORTGAGE,2.20,default,0,f,0.35
Charged Off,7000,f,83000,16.25,3.47378,16369,61.50,MORTGAGE,4.20,default,0,f,0.65
Charged Off,24000,f,75000,10.00,13.98880,22108,89.90,MORTGAGE,3.40,default,0,f,0.50
Default,6000,f,60000,24.96,4.28440,4822,48.20,MORTGAGE,5.00,default,0,f,0.55
Charged Off,8000,f,30000,8.12,11.10880,5328,96.90,MORTGAGE,4.40,default,0,f,0.55
Charged Off,5000,f,18000,11.00,12.25270,4844,34.80,MORTGAGE,3.60,default,0,f,0.45
Charged Off,9750,f,30000,25.12,13.13880,10267,84.90,RENT,5.80,default,0,f,0.35
Charged Off,7750,f,24000,6.90,12.50200,3313,72.00,MORTGAGE,5.20,default,0,f,0.30
Charged Off,17000,f,43000,23.87,17.67960,17013,48.30,RENT,4.00,default,0,f,0.60
Charged Off,1000,f,33480,20.97,1.31756,8667,49.00,MORTGAGE,3.60,default,0,f,0.45
Charged Off,1500,f,63000,17.79,0.91695,21957,89.60,MORTGAGE,5.60,default,11,t,0.30
Charged Off,6075,f,48300,10.31,5.43851,8242,58.50,MORTGAGE,3.20,default,0,f,0.25
Charged Off,3625,f,13104,20.33,12.09340,7118,33.60,RENT,3.40,default,0,f,0.70
Default,15000,f,60000,26.54,10.71080,11867,78.60,MORTGAGE,5.00,default,0,f,0.35
Charged Off,10000,f,40000,25.53,10.97430,9809,79.70,RENT,3.60,default,0,f,0.45
